Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,44.907,45.608,44.725,45.007,5423200,0.0,0.0
2017-01-04,45.562,46.326,45.471,46.117,7898600,0.0,0.0
2017-01-05,45.853,46.108,45.026,45.235,5806200,0.0,0.0
2017-01-06,45.289,45.753,44.771,45.189,6922700,0.0,0.0
2017-01-09,44.989,45.635,44.953,45.198,5332900,0.0,0.0
2017-01-10,45.417,46.708,45.353,46.326,8440500,0.0,0.0
2017-01-11,46.808,47.063,46.072,46.79,10001600,0.0,0.0
2017-01-12,46.663,47.3,45.18,46.29,14284800,0.0,0.0
2017-01-13,46.199,46.972,46.19,46.599,7380600,0.0,0.0
2017-01-17,46.381,46.59,45.653,45.781,7477500,0.0,0.0
2017-01-18,45.608,46.208,45.289,45.753,7076500,0.0,0.0
2017-01-19,45.735,45.935,45.135,45.207,7012700,0.0,0.0
2017-01-20,45.271,45.972,45.217,45.935,7722400,0.0,0.0
2017-01-23,45.735,45.871,44.362,44.362,8753100,0.0,0.0
2017-01-24,44.489,45.262,44.407,44.971,6398100,0.0,0.0
2017-01-25,45.471,45.871,45.308,45.653,8096300,0.0,0.0
2017-01-26,46.108,46.881,45.99,46.299,8905600,0.0,0.0
2017-01-27,46.39,46.499,45.089,45.207,6852000,0.0,0.0
2017-01-30,44.525,44.525,43.243,43.361,12745600,0.0,0.0
2017-01-31,43.47,43.506,42.36,42.97,12533800,0.0,0.0
2017-02-01,43.188,43.452,42.788,42.988,8377500,0.0,0.0
2017-02-02,42.379,43.352,42.279,43.097,8795700,0.0,0.0
2017-02-03,43.225,43.661,43.124,43.488,5632300,0.0,0.0
2017-02-06,43.834,44.28,43.597,43.898,7169200,0.0,0.0
2017-02-07,44.061,44.516,43.734,43.798,7262900,0.0,0.0
2017-02-08,43.898,43.934,43.416,43.752,5342600,0.0,0.0
2017-02-09,43.752,45.071,43.752,44.871,7274700,0.0,0.0
2017-02-10,45.071,45.089,44.589,44.807,5322600,0.0,0.0
2017-02-13,44.907,45.862,44.825,45.535,6565900,0.0,0.0
2017-02-14,45.317,45.471,44.662,45.353,7024600,0.0,0.0
2017-02-15,46.344,47.263,45.962,46.545,12705000,0.0,0.0
2017-02-16,46.535,46.545,46.017,46.235,6626700,0.0,0.0
2017-02-17,46.017,46.599,45.653,46.599,5428000,0.0,0.0
2017-02-21,46.663,46.872,46.363,46.581,6406500,0.0,0.0
2017-02-22,46.575,46.702,46.1,46.511,4345100,0.203,0.0
2017-02-23,46.684,47.022,45.835,46.1,6470900,0.0,0.0
2017-02-24,46.008,46.136,45.552,46.081,8154700,0.0,0.0
2017-02-27,45.963,46.081,45.506,46.063,7574200,0.0,0.0
2017-02-28,46.118,46.209,45.533,45.597,6950200,0.0,0.0
2017-03-01,46.036,47.369,45.981,46.602,14144700,0.0,0.0
2017-03-02,45.661,46.291,45.488,45.625,12527200,0.0,0.0
2017-03-03,45.67,46.246,45.406,45.78,11170800,0.0,0.0
2017-03-06,45.205,45.524,44.027,44.611,11368700,0.0,0.0
2017-03-07,44.31,44.447,43.442,43.506,10266200,0.0,0.0
2017-03-08,43.543,43.807,43.397,43.534,7165900,0.0,0.0
2017-03-09,43.552,44.155,42.885,43.15,8790500,0.0,0.0
2017-03-10,43.205,43.817,43.113,43.753,6263100,0.0,0.0
2017-03-13,43.744,44.036,43.077,43.241,6995300,0.0,0.0
2017-03-14,42.94,42.986,42.118,42.264,14313200,0.0,0.0
2017-03-15,41.945,43.369,41.305,43.095,17933000,0.0,0.0
2017-03-16,43.488,43.561,42.94,43.296,7899000,0.0,0.0
2017-03-17,43.488,43.515,42.474,42.474,12295000,0.0,0.0
2017-03-20,43.132,43.132,42.511,42.785,5867100,0.0,0.0
2017-03-21,42.986,43.086,41.488,41.57,10366200,0.0,0.0
2017-03-22,41.324,41.862,40.611,41.771,12064000,0.0,0.0
2017-03-23,41.89,42.209,41.524,41.935,5589200,0.0,0.0
2017-03-24,42.1,42.292,41.643,42.008,6290300,0.0,0.0
2017-03-27,41.433,42.246,41.168,42.1,9023000,0.0,0.0
2017-03-28,42.1,42.739,41.789,42.492,7321200,0.0,0.0
2017-03-29,42.392,42.602,41.762,41.963,6321100,0.0,0.0
2017-03-30,42.027,42.447,41.926,42.255,4909100,0.0,0.0
2017-03-31,42.118,42.273,41.908,41.972,7052700,0.0,0.0
2017-04-03,41.972,42.319,41.616,42.301,7398100,0.0,0.0
2017-04-04,41.862,42.054,41.095,41.196,8765500,0.0,0.0
2017-04-05,41.488,42.1,41.132,41.168,8313400,0.0,0.0
2017-04-06,41.205,41.698,40.976,41.333,6080400,0.0,0.0
2017-04-07,41.296,41.47,40.867,41.25,9007300,0.0,0.0
2017-04-10,41.159,41.305,40.73,41.068,9945400,0.0,0.0
2017-04-11,41.095,41.387,40.629,41.36,10506800,0.0,0.0
2017-04-12,42.894,43.077,41.095,41.141,14332800,0.0,0.0
2017-04-13,40.995,41.095,40.008,40.209,14894000,0.0,0.0
2017-04-17,40.301,40.593,40.182,40.502,7140300,0.0,0.0
2017-04-18,40.365,40.894,40.155,40.556,7973800,0.0,0.0
2017-04-19,40.922,41.643,40.821,41.168,8488200,0.0,0.0
2017-04-20,41.47,42.164,41.324,41.945,7679200,0.0,0.0
2017-04-21,41.871,42.045,41.369,41.579,6396000,0.0,0.0
2017-04-24,42.465,42.858,42.072,42.748,12522600,0.0,0.0
2017-04-25,43.05,43.424,42.648,42.675,7873900,0.0,0.0
2017-04-26,42.675,42.976,42.319,42.346,7610700,0.0,0.0
2017-04-27,41.716,41.881,40.967,41.771,12388000,0.0,0.0
2017-04-28,41.917,42.045,41.36,41.497,6600000,0.0,0.0
2017-05-01,41.634,42.008,41.46,41.46,6378900,0.0,0.0
2017-05-02,41.707,43.771,41.561,43.68,12931000,0.0,0.0
2017-05-03,43.524,44.282,43.415,44.118,9912400,0.0,0.0
2017-05-04,44.255,44.565,44.018,44.419,7467400,0.0,0.0
2017-05-05,44.41,44.776,44.063,44.474,5275200,0.0,0.0
2017-05-08,44.502,44.83,44.2,44.31,8671600,0.0,0.0
2017-05-09,44.748,45.607,44.639,45.26,8759600,0.0,0.0
2017-05-10,45.068,45.652,44.931,45.634,7548700,0.0,0.0
2017-05-11,45.67,45.826,44.666,45.378,8817400,0.0,0.0
2017-05-12,45.196,45.269,44.657,44.739,7180500,0.0,0.0
2017-05-15,44.858,45.397,44.748,45.214,5539300,0.0,0.0
2017-05-16,45.314,45.333,44.547,45.214,6422800,0.0,0.0
2017-05-17,45.217,45.217,43.713,43.777,8274500,0.203,0.0
2017-05-18,43.685,44.281,43.603,43.704,5071000,0.0,0.0
2017-05-19,43.878,44.602,43.841,44.199,6137000,0.0,0.0
2017-05-22,44.355,44.676,44.327,44.465,6548300,0.0,0.0
2017-05-23,44.529,44.776,44.3,44.556,5592300,0.0,0.0
2017-05-24,44.63,44.905,44.456,44.813,5139600,0.0,0.0
2017-05-25,44.923,46.244,44.896,46.216,7421000,0.0,0.0
2017-05-26,46.134,46.72,46.134,46.583,5778500,0.0,0.0
2017-05-30,46.39,46.39,44.969,44.987,10523500,0.0,0.0
2017-05-31,45.107,45.253,44.492,45.052,8088900,0.0,0.0
2017-06-01,45.226,45.914,45.207,45.712,7431600,0.0,0.0
2017-06-02,46.354,47.573,46.308,46.941,11872100,0.0,0.0
2017-06-05,46.757,47.216,46.372,47.124,9018000,0.0,0.0
2017-06-06,46.904,47.399,46.812,46.977,6826300,0.0,0.0
2017-06-07,46.775,48.142,46.445,47.931,10888400,0.0,0.0
2017-06-08,47.931,49.013,47.867,48.454,9057200,0.0,0.0
2017-06-09,48.509,49.123,48.289,48.609,9709000,0.0,0.0
2017-06-12,48.554,48.573,47.106,47.913,9751100,0.0,0.0
2017-06-13,47.922,48.454,47.188,47.564,8280600,0.0,0.0
2017-06-14,47.692,47.867,47.262,47.601,6019000,0.0,0.0
2017-06-15,47.344,47.537,46.693,47.28,6871200,0.0,0.0
2017-06-16,47.271,47.683,46.996,47.683,6254500,0.0,0.0
2017-06-19,47.775,48.261,47.628,48.151,7674700,0.0,0.0
2017-06-20,48.307,48.417,47.372,47.463,7050100,0.0,0.0
2017-06-21,47.729,48.215,47.454,47.931,5135100,0.0,0.0
2017-06-22,48.591,48.784,47.839,48.426,7240900,0.0,0.0
2017-06-23,48.417,48.756,48.252,48.527,15792900,0.0,0.0
2017-06-26,48.619,49.325,48.325,48.481,6127500,0.0,0.0
2017-06-27,48.472,48.793,48.234,48.454,5921800,0.0,0.0
2017-06-28,48.83,49.701,48.83,49.371,6745200,0.0,0.0
2017-06-29,49.618,50.003,49.224,49.398,7188300,0.0,0.0
2017-06-30,49.517,49.774,49.27,49.279,5012800,0.0,0.0
2017-07-03,49.756,50.168,49.279,49.572,3532100,0.0,0.0
2017-07-05,49.655,50.077,49.279,49.82,5793000,0.0,0.0
2017-07-06,49.682,50.288,49.416,49.857,6221400,0.0,0.0
2017-07-07,50.022,50.893,49.774,50.856,7493300,0.0,0.0
2017-07-10,50.471,51.122,50.104,50.26,7971800,0.0,0.0
2017-07-11,50.269,50.471,49.682,49.774,5442100,0.0,0.0
2017-07-12,50.251,50.975,50.205,50.874,12101600,0.0,0.0
2017-07-13,50.022,50.462,49.352,49.976,13257400,0.0,0.0
2017-07-14,49.976,50.792,49.884,50.553,9228700,0.0,0.0
2017-07-17,50.618,50.7,50.077,50.104,5387400,0.0,0.0
2017-07-18,49.976,49.976,49.407,49.481,6421200,0.0,0.0
2017-07-19,49.306,49.829,48.692,49.325,10733000,0.0,0.0
2017-07-20,49.325,49.435,48.38,48.444,8418300,0.0,0.0
2017-07-21,48.188,48.325,47.747,47.922,6847600,0.0,0.0
2017-07-24,47.83,48.059,47.151,47.252,8208700,0.0,0.0
2017-07-25,47.61,47.876,46.84,46.895,5815200,0.0,0.0
2017-07-26,46.904,47.014,46.427,46.886,8065100,0.0,0.0
2017-07-27,46.216,46.748,45.418,45.923,12402000,0.0,0.0
2017-07-28,45.84,46.198,45.299,46.152,8652600,0.0,0.0
2017-07-31,46.28,46.491,45.171,45.262,9575700,0.0,0.0
2017-08-01,45.648,46.033,45.171,45.914,7849800,0.0,0.0
2017-08-02,45.859,46.124,45.373,45.859,5215100,0.0,0.0
2017-08-03,45.959,46.528,45.785,46.372,5250300,0.0,0.0
2017-08-04,46.528,46.583,46.161,46.409,4426500,0.0,0.0
2017-08-07,46.95,47.271,46.482,46.537,6241700,0.0,0.0
2017-08-08,46.537,46.803,46.06,46.134,5847200,0.0,0.0
2017-08-09,45.849,45.941,45.391,45.547,6692200,0.0,0.0
2017-08-10,45.455,45.528,44.914,44.969,8925200,0.0,0.0
2017-08-11,44.887,45.464,44.437,45.373,6318900,0.0,0.0
2017-08-14,45.84,46.069,45.538,45.914,4666000,0.0,0.0
2017-08-15,46.079,46.152,45.721,45.776,4067600,0.0,0.0
2017-08-16,46.069,46.308,45.914,45.969,3696000,0.0,0.0
2017-08-17,45.868,45.987,43.557,43.584,12043200,0.0,0.0
2017-08-18,43.759,44.125,43.373,43.584,8395100,0.0,0.0
2017-08-21,43.829,44.207,43.7,44.124,4650400,0.305,0.0
2017-08-22,44.226,44.364,43.46,43.515,6762800,0.0,0.0
2017-08-23,43.34,43.377,42.26,42.62,10997800,0.0,0.0
2017-08-24,42.897,42.915,41.531,41.725,13780200,0.0,0.0
2017-08-25,41.928,43.432,41.854,43.081,13938800,0.0,0.0
2017-08-28,43.22,43.571,43.054,43.331,7816400,0.0,0.0
2017-08-29,42.583,43.192,42.325,43.026,5648800,0.0,0.0
2017-08-30,42.878,43.377,42.546,43.22,5960200,0.0,0.0
2017-08-31,43.377,43.691,43.229,43.552,5937200,0.0,0.0
2017-09-01,43.764,44.161,43.644,43.857,6099600,0.0,0.0
2017-09-05,43.164,43.626,42.214,42.306,11344700,0.0,0.0
2017-09-06,41.734,43.792,41.153,43.737,18675300,0.0,0.0
2017-09-07,43.654,44.115,43.349,43.487,7329100,0.0,0.0
2017-09-08,43.358,44.087,43.275,43.792,6110700,0.0,0.0
2017-09-11,44.253,45.416,44.244,45.056,12512600,0.0,0.0
2017-09-12,45.167,45.37,44.798,45.259,5813300,0.0,0.0
2017-09-13,45.186,45.343,44.89,45.204,6255100,0.0,0.0
2017-09-14,45.13,45.149,44.429,44.549,6283900,0.0,0.0
2017-09-15,44.346,44.715,44.161,44.53,17746200,0.0,0.0
2017-09-18,44.604,44.715,44.087,44.263,6011400,0.0,0.0
2017-09-19,44.309,45.204,44.069,44.207,6782300,0.0,0.0
2017-09-20,44.3,44.853,44.097,44.337,5535000,0.0,0.0
