Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,13.356,13.464,13.103,13.175,13641800,0.0,0.0
2017-01-04,13.24,13.435,13.24,13.356,9966400,0.0,0.0
2017-01-05,13.32,13.413,13.096,13.19,13709200,0.0,0.0
2017-01-06,13.276,13.348,13.197,13.218,9897900,0.0,0.0
2017-01-09,13.161,13.24,13.002,13.175,9481300,0.0,0.0
2017-01-10,13.211,13.421,13.11,13.334,9456500,0.0,0.0
2017-01-11,13.291,13.413,13.146,13.413,10540900,0.0,0.0
2017-01-12,13.341,13.37,13.067,13.197,11324400,0.0,0.0
2017-01-13,13.262,13.543,13.262,13.406,10607500,0.0,0.0
2017-01-17,13.276,13.276,12.764,12.778,25013300,0.0,0.0
2017-01-18,12.872,13.089,12.706,13.081,20128300,0.0,0.0
2017-01-19,13.103,13.139,12.735,12.872,18762900,0.0,0.0
2017-01-20,12.887,13.016,12.807,12.887,12979800,0.0,0.0
2017-01-23,12.887,12.93,12.706,12.764,10614000,0.0,0.0
2017-01-24,12.814,13.045,12.757,13.024,15465400,0.0,0.0
2017-01-25,13.226,13.298,13.089,13.276,9305500,0.0,0.0
2017-01-26,13.298,13.399,13.226,13.312,10799700,0.0,0.0
2017-01-27,13.276,13.312,13.182,13.204,6536900,0.0,0.0
2017-01-30,13.117,13.117,12.836,13.038,10050400,0.0,0.0
2017-01-31,13.038,13.139,12.851,12.966,8012800,0.0,0.0
2017-02-01,13.125,13.226,12.959,13.016,10218200,0.0,0.0
2017-02-02,12.901,12.901,12.749,12.872,12656400,0.0,0.0
2017-02-03,13.067,13.305,12.937,13.255,11745300,0.0,0.0
2017-02-06,13.161,13.298,13.132,13.182,9110300,0.0,0.0
2017-02-07,13.262,13.283,13.009,13.053,7904300,0.0,0.0
2017-02-08,12.937,12.944,12.685,12.865,11923000,0.0,0.0
2017-02-09,12.98,13.117,12.879,13.089,11387200,0.0,0.0
2017-02-10,13.146,13.218,13.074,13.175,8965600,0.0,0.0
2017-02-13,13.269,13.449,13.24,13.32,10405900,0.0,0.0
2017-02-14,13.334,13.659,13.305,13.615,9949400,0.0,0.0
2017-02-15,13.796,13.861,13.623,13.781,14833700,0.0,0.0
2017-02-16,13.781,13.789,13.601,13.702,7250200,0.0,0.0
2017-02-17,13.565,13.709,13.457,13.68,8007200,0.0,0.0
2017-02-21,13.781,13.832,13.673,13.752,7715300,0.0,0.0
2017-02-22,13.644,13.724,13.579,13.659,8672400,0.0,0.0
2017-02-23,13.666,13.76,13.493,13.752,10621800,0.0,0.0
2017-02-24,13.597,13.684,13.452,13.582,16457100,0.085,0.0
2017-02-27,13.611,13.691,13.575,13.655,6799400,0.0,0.0
2017-02-28,13.568,13.647,13.531,13.604,8761400,0.0,0.0
2017-03-01,13.843,14.155,13.843,14.031,14867000,0.0,0.0
2017-03-02,14.111,14.133,13.662,13.684,12370800,0.0,0.0
2017-03-03,13.727,13.85,13.698,13.821,9912700,0.0,0.0
2017-03-06,13.727,13.821,13.582,13.763,10382400,0.0,0.0
2017-03-07,13.763,13.792,13.604,13.618,8113000,0.0,0.0
2017-03-08,13.807,13.872,13.575,13.618,7924600,0.0,0.0
2017-03-09,13.647,13.836,13.626,13.655,8503200,0.0,0.0
2017-03-10,13.749,13.778,13.278,13.466,14500100,0.0,0.0
2017-03-13,13.481,13.531,13.35,13.43,8302100,0.0,0.0
2017-03-14,13.336,13.386,13.133,13.386,9310800,0.0,0.0
2017-03-15,13.452,13.589,13.27,13.285,15198900,0.0,0.0
2017-03-16,13.35,13.481,13.285,13.386,9758300,0.0,0.0
2017-03-17,13.386,13.444,13.227,13.299,18996400,0.0,0.0
2017-03-20,13.249,13.328,13.104,13.104,11919900,0.0,0.0
2017-03-21,13.183,13.191,12.212,12.249,25665400,0.0,0.0
2017-03-22,12.183,12.517,11.995,12.43,19036600,0.0,0.0
2017-03-23,12.379,12.683,12.321,12.502,10054500,0.0,0.0
2017-03-24,12.546,12.611,12.372,12.495,9196200,0.0,0.0
2017-03-27,12.075,12.466,11.988,12.451,10813300,0.0,0.0
2017-03-28,12.422,12.763,12.415,12.676,9128400,0.0,0.0
2017-03-29,12.676,12.741,12.567,12.691,9244900,0.0,0.0
2017-03-30,12.683,13.075,12.676,13.039,14973700,0.0,0.0
