Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,143.651,144.667,141.885,143.936,3539700,0.0,0.0
2017-01-04,144.738,144.943,142.411,144.346,2695200,0.0,0.0
2017-01-05,144.203,144.988,143.989,144.587,2961100,0.0,0.0
2017-01-06,144.203,145.264,143.633,144.792,3081300,0.0,0.0
2017-01-09,144.426,144.81,143.339,144.382,3040800,0.0,0.0
2017-01-10,143.775,145.3,143.089,144.052,3500700,0.0,0.0
2017-01-11,143.802,145.264,143.187,144.328,3330600,0.0,0.0
2017-01-12,144.15,145.264,143.437,144.747,2555900,0.0,0.0
2017-01-13,144.569,145.086,143.9,144.248,3183300,0.0,0.0
2017-01-17,144.97,145.291,140.423,143.232,5475800,0.0,0.0
2017-01-18,143.588,143.713,139.157,140.628,6591600,0.0,0.0
2017-01-19,140.628,143.134,140.183,141.484,4976900,0.0,0.0
2017-01-20,141.77,142.465,140.691,141.449,3579100,0.0,0.0
2017-01-23,141.413,142.215,139.576,141.814,4062600,0.0,0.0
2017-01-24,142.073,143.811,141.841,143.027,3514100,0.0,0.0
2017-01-25,143.374,144.408,142.955,143.749,3605800,0.0,0.0
2017-01-26,144.301,145.835,143.758,145.095,4202400,0.0,0.0
2017-01-27,145.764,146.031,144.979,145.309,3110400,0.0,0.0
2017-01-30,145.264,145.728,143.811,144.507,2784600,0.0,0.0
2017-01-31,144.088,144.596,142.652,144.515,3037000,0.0,0.0
2017-02-01,145.095,146.12,144.453,145.059,3718500,0.0,0.0
2017-02-02,144.89,145.541,142.875,143.321,4714000,0.0,0.0
2017-02-03,143.651,144.426,142.831,144.31,2762300,0.0,0.0
2017-02-06,143.989,144.899,142.839,143.098,3479400,0.0,0.0
2017-02-07,143.579,144.141,142.233,143.116,2942700,0.0,0.0
2017-02-08,142.643,143.205,142.117,142.92,2339700,0.0,0.0
2017-02-09,142.92,143.802,142.251,143.036,3056800,0.0,0.0
2017-02-10,142.75,144.061,142.732,143.312,1905900,0.0,0.0
2017-02-13,143.258,144.444,143.258,144.417,3275800,0.0,0.0
2017-02-14,143.936,145.764,143.758,145.434,2969400,0.0,0.0
2017-02-15,144.943,147.003,144.943,146.468,4537900,0.0,0.0
2017-02-16,146.905,147.074,144.721,145.897,3191600,0.0,0.0
2017-02-17,141.752,142.786,139.514,140.521,12033600,0.0,0.0
2017-02-21,140.521,143.374,140.432,143.151,5419000,0.0,0.0
2017-02-22,143.455,144.23,142.322,143.151,2725300,0.0,0.0
2017-02-23,143.829,144.961,143.258,144.961,2459600,0.0,0.0
2017-02-24,145.024,145.398,144.194,145.371,2715700,0.0,0.0
2017-02-27,145.46,147.511,145.148,147.44,4071800,0.0,0.0
2017-02-28,147.52,148.67,147.012,147.44,4382100,0.0,0.0
2017-03-01,148.634,150.31,148.304,149.722,3514200,0.0,0.0
2017-03-02,150.061,150.159,148.848,149.16,1889800,0.0,0.0
2017-03-03,149.16,150.177,148.545,149.954,2254400,0.0,0.0
2017-03-06,149.267,150.979,149.0,150.4,2576500,0.0,0.0
2017-03-07,150.177,150.988,149.713,150.043,2702300,0.0,0.0
2017-03-08,149.895,150.745,149.26,150.253,2048200,0.625,0.0
2017-03-09,150.468,151.291,150.101,150.343,3631400,0.0,0.0
2017-03-10,150.71,152.123,150.387,152.105,3716600,0.0,0.0
2017-03-13,152.114,152.956,151.721,152.311,3130200,0.0,0.0
2017-03-14,151.819,152.284,150.781,151.282,2522600,0.0,0.0
2017-03-15,151.551,153.886,151.488,153.716,2807600,0.0,0.0
2017-03-16,153.976,154.038,152.32,153.287,3138600,0.0,0.0
2017-03-17,153.099,153.501,151.757,151.855,5622900,0.0,0.0
2017-03-20,152.061,152.338,150.262,150.334,3928600,0.0,0.0
2017-03-21,150.933,151.067,149.493,150.065,4953100,0.0,0.0
2017-03-22,150.45,150.674,148.213,149.466,2999800,0.0,0.0
2017-03-23,148.75,149.376,147.443,147.909,3947400,0.0,0.0
2017-03-24,148.66,149.797,147.068,147.649,5243900,0.0,0.0
2017-03-27,146.745,147.748,146.137,147.291,4383000,0.0,0.0
2017-03-28,147.273,148.607,146.611,147.962,7327100,0.0,0.0
2017-03-29,147.345,147.622,145.627,146.253,5900400,0.0,0.0
2017-03-30,146.441,148.481,146.271,147.64,2993800,0.0,0.0
2017-03-31,147.327,147.739,146.531,146.763,3496100,0.0,0.0
2017-04-03,147.309,148.669,146.978,148.177,3473700,0.0,0.0
2017-04-04,148.428,148.947,147.461,147.622,2886000,0.0,0.0
2017-04-05,148.329,149.672,147.846,147.98,3541600,0.0,0.0
2017-04-06,148.052,148.562,147.506,147.953,2923600,0.0,0.0
2017-04-07,147.613,148.991,147.309,148.562,2927800,0.0,0.0
2017-04-10,148.714,149.439,147.9,148.079,3234900,0.0,0.0
2017-04-11,147.551,148.401,147.291,148.392,3172900,0.0,0.0
2017-04-12,148.83,148.92,147.291,148.15,2978700,0.0,0.0
2017-04-13,147.604,148.231,147.354,147.613,1979800,0.0,0.0
2017-04-17,147.64,149.815,147.613,149.6,4396700,0.0,0.0
2017-04-18,152.177,152.329,150.065,150.862,5526200,0.0,0.0
2017-04-19,151.756,153.188,150.951,151.452,4703400,0.0,0.0
2017-04-20,151.694,154.083,150.665,153.501,3652100,0.0,0.0
2017-04-21,154.029,154.468,152.544,153.161,2982300,0.0,0.0
2017-04-24,154.504,154.951,153.645,154.208,2830300,0.0,0.0
